,ID,Number of cycles,Total strain amplitude,Max. strain,Plastic strain amplitude,Elastic strain amplitude
42,5.0,20200.8216661695,0.556198553471666,0.556198553471666,0.314774934830952,0.24142361864071404
43,5.0,48761.7996537446,0.408824652342992,0.408824652342992,0.199543393201509,0.209281259141483
44,5.0,60393.7709976505,0.408824652342992,0.408824652342992,0.194630663421147,0.214193988921845
47,6.0,5858.74109943423,0.850674765252467,0.850674765252467,0.593324315719379,0.25735044953308794
48,6.0,6228.03024666529,0.850674765252467,0.850674765252467,0.576659528689571,0.27401523656289595
49,6.0,11018.3654337775,0.703946011405056,0.703946011405056,0.449426391862054,0.25451961954300195
50,6.0,19592.7696034352,0.557808575074862,0.557808575074862,0.333231072885409,0.22457750218945305
51,6.0,50789.8967522624,0.409415934784573,0.409415934784573,0.203128225463526,0.206287709321047
54,7.0,4778.77172823151,0.849446212552254,0.849446212552254,0.614834161707396,0.23461205084485803
55,7.0,5211.03145457662,0.850674765252467,0.850674765252467,0.61047069563534,0.24020406961712704
56,7.0,8672.48879282802,0.703946011405056,0.703946011405056,0.489526937688779,0.214419073716277
57,7.0,9033.19429349778,0.627084552019978,0.627084552019978,0.369484680031642,0.25759987198833606
58,7.0,17785.4157443141,0.557808575074862,0.557808575074862,0.370802813058489,0.18700576201637303
59,7.0,38185.1147902264,0.410008072397005,0.410008072397005,0.240137362501042,0.16987070989596298
62,8.0,3502.45088261262,0.853137203784178,0.853137203784178,0.566482569392413,0.286654634391765
63,8.0,6454.10634070159,0.703946011405056,0.703946011405056,0.412610759799612,0.291335251605444
64,8.0,9951.14745249342,0.557808575074862,0.557808575074862,0.295230774195811,0.262577800879051
65,8.0,28129.5036419542,0.408234223837215,0.408234223837215,0.185165078183529,0.22306914565368602
66,8.0,33619.3325703129,0.409415934784573,0.409415934784573,0.16001073746595,0.249405197318623
69,9.0,6196.88324,0.6,0.6,0.364791288566243,0.235208711433757
70,9.0,17548.53654,0.4,0.4,0.2,0.2
71,9.0,55916.36548,0.2,0.2,0.0362976406533575,0.1637023593466425
74,10.0,1069.1843748820684,0.6,0.6,0.134301270417422,0.46569872958257796
75,10.0,3759.4282899515747,0.4,0.4,0.0181488203266788,0.3818511796733212
76,10.0,86389.31108807294,0.2,0.2,0.0,0.2
79,11.0,8570.926840931223,0.6,0.6,0.291176470588235,0.308823529411765
80,11.0,18758.794325724575,0.4,0.4,0.147794117647058,0.25220588235294206
81,11.0,38991.3390524388,0.28,0.28,0.0860294117647058,0.19397058823529423
82,11.0,47589.987084584805,0.23,0.23,0.0573529411764705,0.17264705882352951
85,12.0,3297.0,0.6,0.6,0.3267252195734,0.2732747804266
86,12.0,22888.0,0.4,0.4,0.162609786700125,0.23739021329987503
87,12.0,39181.0,0.28,0.28,0.102383939774153,0.17761606022584703
88,12.0,84084.0,0.23,0.23,0.0647427854454202,0.1652572145545798
92,13.0,231.27472,1.75,1.75,1.126,0.624
93,13.0,459.25215,1.5,1.5,0.902,0.598
94,13.0,829.07924,1.25,1.25,0.711,0.539
95,13.0,2456.44771,1.0,1.0,0.491,0.509
96,13.0,3332.09799,0.75,0.75,0.325,0.425
97,13.0,22401.74079,0.5,0.5,0.155,0.345
98,13.0,59202.41312,0.35,0.35,0.076,0.274
99,13.0,704973.2086,0.25,0.25,0.024,0.226
100,13.0,1225084.862,0.2,0.2,0.016,0.184
103,14.0,3948.6,0.7,0.7,0.5,0.2
104,14.0,4060.5,0.7,0.7,0.5,0.5
105,14.0,11631.7,0.5,0.5,0.32,0.18
106,14.0,13883.4,0.5,0.5,0.34,0.16
107,14.0,26399.1,0.3,0.3,0.17,0.13
108,14.0,47913.5,0.3,0.3,0.15,0.15
